LJ001-0001|Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts.|Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts.
LJ001-0002|The author of the invention is not certainly known.|The author of the invention is not certainly known.
LJ001-0003|The inventor was probably John Gutenberg of Mainz.|The inventor was probably John Gutenberg of Mainz.
LJ001-0004|He was born about the year fourteen hundred.|He was born about the year fourteen hundred.
LJ001-0005|In fourteen fifty he entered into a partnership with John Fust.|In fourteen fifty he entered into a partnership with John Fust.
LJ001-0006|Artificial intelligence speech synthesis provides natural voice interactions.|Artificial intelligence speech synthesis provides natural voice interactions.
LJ001-0007|Voice assistants help millions of people with daily accessibility tasks.|Voice assistants help millions of people with daily accessibility tasks.
LJ001-0008|Deep learning with long short term memory models captures sequence dynamics.|Deep learning with long short term memory models captures sequence dynamics.
LJ001-0009|The text to speech system converts written words into expressive acoustic waveforms.|The text to speech system converts written words into expressive acoustic waveforms.
LJ001-0010|Natural sounding audio improves user comprehension and digital accessibility.|Natural sounding audio improves user comprehension and digital accessibility.
LJ001-0011|Modern speech models utilize attention mechanisms to align phonetic units.|Modern speech models utilize attention mechanisms to align phonetic units.
LJ001-0012|Thank you for listening to this neural text to speech demonstration.|Thank you for listening to this neural text to speech demonstration.
